Source,ID.Number,Latitude,Longitude,LocUncertain
iNaturalist,136451,32.99556576,-99.14843898,891
iNaturalist,141368,32.129,-102.6775,30
iNaturalist,269283,32.38216667,-102.4233333,5
iNaturalist,274403,32.544498,-97.642879,30
iNaturalist,278767,32.625158,-101.389913,10
iNaturalist,302672,31.393153,-99.705065,NA
iNaturalist,302682,31.010948,-101.168411,NA
iNaturalist,303511,27.416157,-97.307667,200
iNaturalist,390898,32.604516,-97.492127,NA
iNaturalist,416924,33.867267,-101.113,10
iNaturalist,657012,33.57219667,-98.84829667,NA
iNaturalist,657013,33.54152167,-98.84543667,NA
iNaturalist,663071,32.6785,-97.49883333,NA
iNaturalist,663076,32.67844667,-97.49884167,NA
iNaturalist,673510,32.677444,-97.483518,NA
iNaturalist,674122,32.60283333,-97.686,30
iNaturalist,674125,32.677,-97.48866667,30
iNaturalist,694402,26.91373333,-98.597,NA
iNaturalist,793372,32.55550378,-101.2266518,5
iNaturalist,793373,32.556763,-101.279131,5
iNaturalist,822281,33.87116667,-99.404,NA
iNaturalist,848669,31.947799,-101.983428,197
iNaturalist,1037495,34.03223726,-99.65927316,5
iNaturalist,1293760,26.950176,-98.594291,100
iNaturalist,1461780,32.40274687,-97.58058195,6
iNaturalist,1495532,31.46451333,-102.90383,NA
iNaturalist,1495540,31.60731167,-102.6879283,NA
iNaturalist,1528906,32.654305,-97.66983833,NA
iNaturalist,1535732,34.124987,-98.6741,993
iNaturalist,1541106,33.18757629,-99.96776581,NA
iNaturalist,1560940,33.962599,-99.103493,NA
iNaturalist,1566087,33.58369446,-99.82941437,NA
iNaturalist,1580496,33.70028136,-98.87452547,48
iNaturalist,1596240,34.1202774,-100.3386078,NA
iNaturalist,1602654,33.20927048,-100.3365402,NA
iNaturalist,1608712,33.71156667,-98.72988833,NA
iNaturalist,1652140,31.53680317,-102.9881599,6
iNaturalist,1695316,31.8279657,-102.353388,55
iNaturalist,1701814,33.12342453,-100.0824356,NA
iNaturalist,1701818,33.20967484,-100.3586197,NA
iNaturalist,1731922,32.088216,-102.865536,5
iNaturalist,1778760,33.71748,-98.67587167,NA
iNaturalist,1778812,33.79758,-98.70861167,NA
iNaturalist,1823118,31.43097833,-102.6547167,NA
iNaturalist,1865277,33.766475,-98.71831333,NA
iNaturalist,1927464,31.80846,-99.525511,5
iNaturalist,2118475,34.434593,-100.001464,219
iNaturalist,2350949,34.11839,-100.3004,15
iNaturalist,2351257,34.118083,-100.338906,5
iNaturalist,2351939,34.116762,-100.355794,5
iNaturalist,2464966,35.92083036,-100.2825597,824
iNaturalist,2999058,32.40626302,-101.0786024,229
iNaturalist,3018945,33.50465088,-99.80053559,459
iNaturalist,3019197,33.15950483,-100.2339383,459
iNaturalist,3019198,33.19814298,-100.2834998,15
iNaturalist,3019199,33.21157623,-100.4184562,15
iNaturalist,3019205,33.18623437,-100.260106,29
iNaturalist,3019207,33.12393559,-100.1007442,58
iNaturalist,3037761,33.18389893,-99.44623566,NA
iNaturalist,3037820,33.18278885,-99.39889526,NA
iNaturalist,3037825,33.18165207,-99.3420639,NA
iNaturalist,3037826,33.18155289,-99.31044006,NA
iNaturalist,3037828,33.1813736,-99.24714661,NA
iNaturalist,3037832,33.18627548,-99.14329529,NA
iNaturalist,3037833,33.1864357,-99.12123108,NA
iNaturalist,3037923,33.18519974,-99.01981354,NA
iNaturalist,3037924,33.1836319,-98.97872925,NA
iNaturalist,3057238,31.68793,-99.54859167,NA
iNaturalist,3092810,32.13975533,-99.47574951,133
iNaturalist,3182951,33.79788266,-98.71395184,129
iNaturalist,3283926,32.124775,-102.729983,30
iNaturalist,3324916,33.18157959,-99.3168335,NA
iNaturalist,3324922,33.18149567,-99.38635254,NA
iNaturalist,3349417,34.029598,-100.237434,110
iNaturalist,3352450,31.665301,-103.018262,113
iNaturalist,3408482,31.03061117,-100.9970383,NA
iNaturalist,3423874,30.95722002,-101.168436,160
iNaturalist,3424072,33.66141333,-98.66671167,NA
iNaturalist,3452900,30.49488068,-104.3808517,NA
iNaturalist,3454699,30.49490833,-104.3806833,NA
iNaturalist,3475680,32.67813191,-97.52792998,500
iNaturalist,3477904,30.49487686,-104.3809814,NA
iNaturalist,3643357,30.99696091,-101.0858059,1000
iNaturalist,4109020,34.0305945,-100.1896667,NA
iNaturalist,4452371,33.740545,-98.719125,NA
iNaturalist,4461325,33.75402833,-98.39246333,NA
iNaturalist,4752067,31.50763,-102.56322,NA
